"title"	"ChIP"	"hyb.chamber"	"dataset"	"synchroset"	"monkeyid"	"time.point"	"infection.time"	"clinical.status"	"description"	"description.1"	"time.point.comb"	"time.period"
"GSM2227858"	"M7_42"	6	2	"Training"	"No"	"M7"	42	"D42"	"Latent"	"M7_42"	"6303281024_G.AVG_Signal"	42	"middle"
"GSM2227859"	"M16_30"	6	2	"Training"	"No"	"M16"	30	"D30"	"Active"	"M16_30"	"6303281024_H.AVG_Signal"	30	"middle"
"GSM2227861"	"M19_120"	6	2	"Training"	"No"	"M19"	120	"M4"	"Active"	"M19_120"	"6303281024_J.AVG_Signal"	120	"late"
"GSM2227864"	"M13_90"	7	2	"Training"	"No"	"M13"	90	"M3"	"Latent"	"M13_90"	"7196763028_A.AVG_Signal"	90	"late"
"GSM2227865"	"M3_120"	7	2	"Training"	"No"	"M3"	120	"M4"	"Latent"	"M3_120"	"7196763028_B.AVG_Signal"	120	"late"
"GSM2227866"	"M18_90"	7	2	"Training"	"No"	"M18"	90	"M3"	"Active"	"M18_90"	"7196763028_C.AVG_Signal"	90	"late"
"GSM2227868"	"M17_150"	7	2	"Training"	"No"	"M17"	150	"M5"	"Latent"	"M17_150"	"7196763028_E.AVG_Signal"	150	"late"
"GSM2227869"	"M4_150"	7	2	"Training"	"No"	"M4"	150	"M5"	"Latent"	"M4_150"	"7196763028_F.AVG_Signal"	150	"late"
"GSM2227871"	"M13_150"	7	2	"Training"	"No"	"M13"	150	"M5"	"Latent"	"M13_150"	"7196763028_H.AVG_Signal"	150	"late"
"GSM2227872"	"M15_120"	7	2	"Training"	"No"	"M15"	120	"M4"	"Latent"	"M15_120"	"7196763028_I.AVG_Signal"	120	"late"
"GSM2227873"	"M18_56"	7	2	"Training"	"No"	"M18"	56	"D56"	"Active"	"M18_56"	"7196763028_J.AVG_Signal"	56	"middle"
"GSM2227875"	"M9_42"	7	2	"Training"	"No"	"M9"	42	"D42"	"Latent"	"M9_42"	"7196763028_L.AVG_Signal"	42	"middle"
"GSM2227877"	"M6_150"	8	2	"Training"	"No"	"M6"	150	"M5"	"Active"	"M6_150"	"7196763044_B.AVG_Signal"	150	"late"
"GSM2227878"	"M8_120"	8	2	"Training"	"No"	"M8"	120	"M4"	"Active"	"M8_120"	"7196763044_C.AVG_Signal"	120	"late"
"GSM2227879"	"M14_20"	8	2	"Training"	"No"	"M14"	20	"D20"	"Latent"	"M14_20"	"7196763044_D.AVG_Signal"	20	"middle"
"GSM2227880"	"M9_20"	8	2	"Training"	"No"	"M9"	20	"D20"	"Latent"	"M9_20"	"7196763044_F.AVG_Signal"	20	"middle"
"GSM2227883"	"M3_20"	8	2	"Training"	"No"	"M3"	20	"D20"	"Latent"	"M3_20"	"7196763044_I.AVG_Signal"	20	"middle"
"GSM2227884"	"M10_90"	8	2	"Training"	"Yes"	"M10"	90	"M3"	"Active"	"M10_90"	"7196763044_J.AVG_Signal"	90	"late"
"GSM2227886"	"M16_90"	8	2	"Training"	"No"	"M16"	90	"M3"	"Active"	"M16_90"	"7196763044_L.AVG_Signal"	90	"late"
"GSM2227889"	"M5_90"	9	3	"Training"	"No"	"M5"	90	"M3"	"Latent"	"M5_90"	"7196763048_C.AVG_Signal"	90	"late"
"GSM2227890"	"M11_56"	9	3	"Training"	"No"	"M11"	56	"D56"	"Latent"	"M11_56"	"7196763048_D.AVG_Signal"	56	"middle"
"GSM2227893"	"M7_180"	9	3	"Training"	"Yes"	"M7"	180	"M6"	"Latent"	"M7_180"	"7196763048_G.AVG_Signal"	180	"late"
"GSM2227894"	"M6_30"	9	3	"Training"	"No"	"M6"	30	"D30"	"Active"	"M6_30"	"7196763048_H.AVG_Signal"	30	"middle"
"GSM2227895"	"M13_56"	9	3	"Training"	"No"	"M13"	56	"D56"	"Latent"	"M13_56"	"7196763048_I.AVG_Signal"	56	"middle"
"GSM2227898"	"M2_56"	9	3	"Training"	"No"	"M2"	56	"D56"	"Active"	"M2_56"	"7196763048_L.AVG_Signal"	56	"middle"
"GSM2227899"	"M8_30"	10	3	"Training"	"No"	"M8"	30	"D30"	"Active"	"M8_30"	"7196763054_A.AVG_Signal"	30	"middle"
"GSM2227900"	"M15_150"	10	3	"Training"	"No"	"M15"	150	"M5"	"Latent"	"M15_150"	"7196763054_B.AVG_Signal"	150	"late"
"GSM2227903"	"M7_30"	10	3	"Training"	"No"	"M7"	30	"D30"	"Latent"	"M7_30"	"7196763054_E.AVG_Signal"	30	"middle"
"GSM2227905"	"M6_90"	10	3	"Training"	"No"	"M6"	90	"M3"	"Active"	"M6_90"	"7196763054_G.AVG_Signal"	90	"late"
"GSM2227908"	"M11_120"	10	3	"Training"	"No"	"M11"	120	"M4"	"Latent"	"M11_120"	"7196763054_J.AVG_Signal"	120	"late"
"GSM2227909"	"M14_150"	10	3	"Training"	"No"	"M14"	150	"M5"	"Latent"	"M14_150"	"7196763054_K.AVG_Signal"	150	"late"
"GSM2227912"	"M12_180"	11	3	"Training"	"Yes"	"M12"	180	"M6"	"Active"	"M12_180"	"7196763056_C.AVG_Signal"	180	"late"
"GSM2227913"	"M13_120"	11	3	"Training"	"No"	"M13"	120	"M4"	"Latent"	"M13_120"	"7196763056_D.AVG_Signal"	120	"late"
"GSM2227914"	"M1_90"	11	3	"Training"	"No"	"M1"	90	"M3"	"Active"	"M1_90"	"7196763056_E.AVG_Signal"	90	"late"
"GSM2227915"	"M12_42"	11	3	"Training"	"No"	"M12"	42	"D42"	"Active"	"M12_42"	"7196763056_F.AVG_Signal"	42	"middle"
"GSM2227917"	"M15_42"	11	3	"Training"	"No"	"M15"	42	"D42"	"Latent"	"M15_42"	"7196763056_H.AVG_Signal"	42	"middle"
"GSM2227918"	"M5_180"	11	3	"Training"	"Yes"	"M5"	180	"M6"	"Latent"	"M5_180"	"7196763056_I.AVG_Signal"	180	"late"
"GSM2227919"	"M7_90"	11	3	"Training"	"No"	"M7"	90	"M3"	"Latent"	"M7_90"	"7196763056_J.AVG_Signal"	90	"late"
"GSM2227923"	"M5_56"	12	3	"Training"	"No"	"M5"	56	"D56"	"Latent"	"M5_56"	"7196763057_B.AVG_Signal"	56	"middle"
"GSM2227924"	"M6_20"	12	3	"Training"	"No"	"M6"	20	"D20"	"Active"	"M6_20"	"7196763057_C.AVG_Signal"	20	"middle"
"GSM2227925"	"M10_30"	12	3	"Training"	"No"	"M10"	30	"D30"	"Active"	"M10_30"	"7196763057_D.AVG_Signal"	30	"middle"
"GSM2227926"	"M9_180"	12	3	"Training"	"Yes"	"M9"	180	"M6"	"Latent"	"M9_180"	"7196763057_E.AVG_Signal"	180	"late"
"GSM2227928"	"M10_56"	12	3	"Training"	"No"	"M10"	56	"D56"	"Active"	"M10_56"	"7196763057_G.AVG_Signal"	56	"middle"
"GSM2227933"	"M9_56"	12	3	"Training"	"No"	"M9"	56	"D56"	"Latent"	"M9_56"	"7196763057_L.AVG_Signal"	56	"middle"
"GSM2227934"	"M15_30"	13	4	"Training"	"No"	"M15"	30	"D30"	"Latent"	"M15_30"	"7196763059_A.AVG_Signal"	30	"middle"
"GSM2227935"	"M3_90"	13	4	"Training"	"No"	"M3"	90	"M3"	"Latent"	"M3_90"	"7196763059_B.AVG_Signal"	90	"late"
"GSM2227939"	"M7_20"	13	4	"Training"	"No"	"M7"	20	"D20"	"Latent"	"M7_20"	"7196763059_F.AVG_Signal"	20	"middle"
"GSM2227943"	"M13_30"	13	4	"Training"	"No"	"M13"	30	"D30"	"Latent"	"M13_30"	"7196763059_J.AVG_Signal"	30	"middle"
"GSM2227944"	"M17_56"	13	4	"Training"	"No"	"M17"	56	"D56"	"Latent"	"M17_56"	"7196763059_K.AVG_Signal"	56	"middle"
"GSM2227945"	"M16_56"	13	4	"Training"	"No"	"M16"	56	"D56"	"Active"	"M16_56"	"7196763059_L.AVG_Signal"	56	"middle"
"GSM2227947"	"M1_150"	14	4	"Training"	"No"	"M1"	150	"M5"	"Active"	"M1_150"	"7196763068_B.AVG_Signal"	150	"late"
"GSM2227949"	"M5_20"	14	4	"Training"	"No"	"M5"	20	"D20"	"Latent"	"M5_20"	"7196763068_D.AVG_Signal"	20	"middle"
"GSM2227950"	"M12_20"	14	4	"Training"	"No"	"M12"	20	"D20"	"Active"	"M12_20"	"7196763068_E.AVG_Signal"	20	"middle"
"GSM2227951"	"M14_42"	14	4	"Training"	"No"	"M14"	42	"D42"	"Latent"	"M14_42"	"7196763068_F.AVG_Signal"	42	"middle"
"GSM2227952"	"M8_20"	14	4	"Training"	"No"	"M8"	20	"D20"	"Active"	"M8_20"	"7196763068_G.AVG_Signal"	20	"middle"
"GSM2227954"	"M19_42"	14	4	"Training"	"No"	"M19"	42	"D42"	"Active"	"M19_42"	"7196763068_I.AVG_Signal"	42	"middle"
"GSM2227955"	"M4_42"	14	4	"Training"	"No"	"M4"	42	"D42"	"Latent"	"M4_42"	"7196763068_J.AVG_Signal"	42	"middle"
"GSM2227956"	"M19_20"	14	4	"Training"	"No"	"M19"	20	"D20"	"Active"	"M19_20"	"7196763068_K.AVG_Signal"	20	"middle"
"GSM2227957"	"M15_56"	14	4	"Training"	"No"	"M15"	56	"D56"	"Latent"	"M15_56"	"7196763068_L.AVG_Signal"	56	"middle"
"GSM2227958"	"M18_42"	15	4	"Training"	"No"	"M18"	42	"D42"	"Active"	"M18_42"	"7196763078_A.AVG_Signal"	42	"middle"
"GSM2227960"	"M2_180"	15	4	"Training"	"Yes"	"M2"	180	"M6"	"Active"	"M2_180"	"7196763078_C.AVG_Signal"	180	"late"
"GSM2227962"	"M4_30"	15	4	"Training"	"No"	"M4"	30	"D30"	"Latent"	"M4_30"	"7196763078_E.AVG_Signal"	30	"middle"
"GSM2227963"	"M16_42"	15	4	"Training"	"No"	"M16"	42	"D42"	"Active"	"M16_42"	"7196763078_F.AVG_Signal"	42	"middle"
"GSM2227964"	"M3_42"	15	4	"Training"	"No"	"M3"	42	"D42"	"Latent"	"M3_42"	"7196763078_G.AVG_Signal"	42	"middle"
"GSM2227965"	"M9_150"	15	4	"Training"	"No"	"M9"	150	"M5"	"Latent"	"M9_150"	"7196763078_H.AVG_Signal"	150	"late"
"GSM2227968"	"M8_56"	15	4	"Training"	"No"	"M8"	56	"D56"	"Active"	"M8_56"	"7196763078_K.AVG_Signal"	56	"middle"
"GSM2227969"	"M17_180"	15	4	"Training"	"Yes"	"M17"	180	"M6"	"Latent"	"M17_180"	"7196763078_L.AVG_Signal"	180	"late"
"GSM2227970"	"M18_150"	16	4	"Training"	"Yes"	"M18"	150	"M5"	"Active"	"M18_150"	"7196763081_A.AVG_Signal"	150	"late"
"GSM2227971"	"M4_90"	16	4	"Training"	"No"	"M4"	90	"M3"	"Latent"	"M4_90"	"7196763081_B.AVG_Signal"	90	"late"
"GSM2227973"	"M15_180"	16	4	"Training"	"Yes"	"M15"	180	"M6"	"Latent"	"M15_180"	"7196763081_D.AVG_Signal"	180	"late"
"GSM2227974"	"M1_30"	16	4	"Training"	"No"	"M1"	30	"D30"	"Active"	"M1_30"	"7196763081_E.AVG_Signal"	30	"middle"
"GSM2227975"	"M11_150"	16	4	"Training"	"No"	"M11"	150	"M5"	"Latent"	"M11_150"	"7196763081_F.AVG_Signal"	150	"late"
"GSM2227976"	"M4_120"	16	4	"Training"	"No"	"M4"	120	"M4"	"Latent"	"M4_120"	"7196763081_G.AVG_Signal"	120	"late"
"GSM2227978"	"M8_42"	16	4	"Training"	"No"	"M8"	42	"D42"	"Active"	"M8_42"	"7196763081_I.AVG_Signal"	42	"middle"
"GSM2227980"	"M2_90"	16	4	"Training"	"No"	"M2"	90	"M3"	"Active"	"M2_90"	"7196763081_K.AVG_Signal"	90	"late"
"GSM2227983"	"M11_42"	17	5	"Training"	"No"	"M11"	42	"D42"	"Latent"	"M11_42"	"7196763087_B.AVG_Signal"	42	"middle"
