"title"	"ChIP"	"hyb.chamber"	"dataset"	"synchroset"	"monkeyid"	"time.point"	"infection.time"	"clinical.status"	"description"	"description.1"	"time.point.comb"	"time.period"
"GSM2228078"	"M26_42"	26	8	"Test"	"No"	"M26"	42	"D42"	"Latent"	"M26_42"	"9248833072_G.AVG_Signal"	42	"middle"
"GSM2228080"	"M35_56"	26	8	"Test"	"No"	"M35"	56	"D56"	"Latent"	"M35_56"	"9248833072_I.AVG_Signal"	56	"middle"
"GSM2228082"	"M36_20"	26	8	"Test"	"No"	"M36"	20	"D20"	"Latent"	"M36_20"	"9248833072_K.AVG_Signal"	20	"middle"
"GSM2228084"	"M28_90"	27	8	"Test"	"No"	"M28"	90	"M3"	"Latent"	"M28_90"	"9248833073_B.AVG_Signal"	90	"late"
"GSM2228085"	"M30_42"	27	8	"Test"	"No"	"M30"	42	"D42"	"Active"	"M30_42"	"9248833073_C.AVG_Signal"	42	"middle"
"GSM2228088"	"M37_180"	27	8	"Test"	"Yes"	"M37"	180	"M6"	"Latent"	"M37_180"	"9248833073_H.AVG_Signal"	180	"late"
"GSM2228089"	"M33_56"	27	8	"Test"	"No"	"M33"	56	"D56"	"Latent"	"M33_56"	"9248833073_I.AVG_Signal"	56	"middle"
"GSM2228090"	"M20_90"	27	8	"Test"	"No"	"M20"	90	"M3"	"Latent"	"M20_90"	"9248833073_J.AVG_Signal"	90	"late"
"GSM2228091"	"M36_180"	27	8	"Test"	"Yes"	"M36"	180	"M6"	"Latent"	"M36_180"	"9248833073_K.AVG_Signal"	180	"late"
"GSM2228092"	"M25_30"	27	8	"Test"	"No"	"M25"	30	"D30"	"Latent"	"M25_30"	"9248833073_L.AVG_Signal"	30	"middle"
"GSM2228093"	"M23_56"	28	8	"Test"	"No"	"M23"	56	"D56"	"Active"	"M23_56"	"9248833074_A.AVG_Signal"	56	"middle"
"GSM2228094"	"M21_42"	28	8	"Test"	"No"	"M21"	42	"D42"	"Latent"	"M21_42"	"9248833074_C.AVG_Signal"	42	"middle"
"GSM2228095"	"M26_90"	28	8	"Test"	"No"	"M26"	90	"M3"	"Latent"	"M26_90"	"9248833074_F.AVG_Signal"	90	"late"
"GSM2228096"	"M21_30"	28	8	"Test"	"No"	"M21"	30	"D30"	"Latent"	"M21_30"	"9248833074_G.AVG_Signal"	30	"middle"
"GSM2228097"	"M34_20"	28	8	"Test"	"No"	"M34"	20	"D20"	"Latent"	"M34_20"	"9248833074_H.AVG_Signal"	20	"middle"
"GSM2228098"	"M22_180"	28	8	"Test"	"Yes"	"M22"	180	"M6"	"Active"	"M22_180"	"9248833074_I.AVG_Signal"	180	"late"
"GSM2228099"	"M21_56"	28	8	"Test"	"No"	"M21"	56	"D56"	"Latent"	"M21_56"	"9248833074_J.AVG_Signal"	56	"middle"
"GSM2228100"	"M32_30"	28	8	"Test"	"No"	"M32"	30	"D30"	"Active"	"M32_30"	"9248833074_K.AVG_Signal"	30	"middle"
"GSM2228102"	"M26_180"	29	8	"Test"	"Yes"	"M26"	180	"M6"	"Latent"	"M26_180"	"9248833075_A.AVG_Signal"	180	"late"
"GSM2228104"	"M37_90"	29	8	"Test"	"No"	"M37"	90	"M3"	"Latent"	"M37_90"	"9248833075_C.AVG_Signal"	90	"late"
"GSM2228105"	"M27_180"	29	8	"Test"	"Yes"	"M27"	180	"M6"	"Latent"	"M27_180"	"9248833075_D.AVG_Signal"	180	"late"
"GSM2228106"	"M38_120"	29	8	"Test"	"No"	"M38"	120	"M4"	"Active"	"M38_120"	"9248833075_E.AVG_Signal"	120	"late"
"GSM2228108"	"M30_20"	29	8	"Test"	"No"	"M30"	20	"D20"	"Active"	"M30_20"	"9248833075_G.AVG_Signal"	20	"middle"
"GSM2228112"	"M34_120"	29	8	"Test"	"No"	"M34"	120	"M4"	"Latent"	"M34_120"	"9248833075_K.AVG_Signal"	120	"late"
"GSM2228115"	"M27_56"	30	9	"Test"	"No"	"M27"	56	"D56"	"Latent"	"M27_56"	"9248833076_B.AVG_Signal"	56	"middle"
"GSM2228116"	"M25_180"	30	9	"Test"	"Yes"	"M25"	180	"M6"	"Latent"	"M25_180"	"9248833076_D.AVG_Signal"	180	"late"
"GSM2228118"	"M23_20"	30	9	"Test"	"No"	"M23"	20	"D20"	"Active"	"M23_20"	"9248833076_F.AVG_Signal"	20	"middle"
"GSM2228119"	"M31_120"	30	9	"Test"	"No"	"M31"	120	"M4"	"Active"	"M31_120"	"9248833076_G.AVG_Signal"	120	"late"
"GSM2228120"	"M21_120"	30	9	"Test"	"No"	"M21"	120	"M4"	"Latent"	"M21_120"	"9248833076_H.AVG_Signal"	120	"late"
"GSM2228121"	"M22_90"	30	9	"Test"	"No"	"M22"	90	"M3"	"Active"	"M22_90"	"9248833076_I.AVG_Signal"	90	"late"
"GSM2228122"	"M33_42"	30	9	"Test"	"No"	"M33"	42	"D42"	"Latent"	"M33_42"	"9248833076_J.AVG_Signal"	42	"middle"
"GSM2228123"	"M38_20"	30	9	"Test"	"No"	"M38"	20	"D20"	"Active"	"M38_20"	"9248833076_K.AVG_Signal"	20	"middle"
"GSM2228126"	"M35_120"	31	9	"Test"	"No"	"M35"	120	"M4"	"Latent"	"M35_120"	"9248833077_C.AVG_Signal"	120	"late"
"GSM2228128"	"M20_120"	31	9	"Test"	"No"	"M20"	120	"M4"	"Latent"	"M20_120"	"9248833077_E.AVG_Signal"	120	"late"
"GSM2228129"	"M28_42"	31	9	"Test"	"No"	"M28"	42	"D42"	"Latent"	"M28_42"	"9248833077_F.AVG_Signal"	42	"middle"
"GSM2228130"	"M28_20"	31	9	"Test"	"No"	"M28"	20	"D20"	"Latent"	"M28_20"	"9248833077_G.AVG_Signal"	20	"middle"
"GSM2228131"	"M35_90"	31	9	"Test"	"No"	"M35"	90	"M3"	"Latent"	"M35_90"	"9248833077_H.AVG_Signal"	90	"late"
"GSM2228132"	"M31_150"	31	9	"Test"	"No"	"M31"	150	"M5"	"Active"	"M31_150"	"9248833077_I.AVG_Signal"	150	"late"
"GSM2228133"	"M29_56"	31	9	"Test"	"No"	"M29"	56	"D56"	"Latent"	"M29_56"	"9248833077_K.AVG_Signal"	56	"middle"
"GSM2228134"	"M29_30"	31	9	"Test"	"No"	"M29"	30	"D30"	"Latent"	"M29_30"	"9248833077_L.AVG_Signal"	30	"middle"
"GSM2228135"	"M35_150"	32	9	"Test"	"No"	"M35"	150	"M5"	"Latent"	"M35_150"	"9248833079_A.AVG_Signal"	150	"late"
"GSM2228136"	"M30_150"	32	9	"Test"	"No"	"M30"	150	"M5"	"Active"	"M30_150"	"9248833079_B.AVG_Signal"	150	"late"
"GSM2228138"	"M37_42"	32	9	"Test"	"No"	"M37"	42	"D42"	"Latent"	"M37_42"	"9248833079_E.AVG_Signal"	42	"middle"
"GSM2228139"	"M24_120"	32	9	"Test"	"No"	"M24"	120	"M4"	"Active"	"M24_120"	"9248833079_F.AVG_Signal"	120	"late"
"GSM2228140"	"M21_90"	32	9	"Test"	"No"	"M21"	90	"M3"	"Latent"	"M21_90"	"9248833079_G.AVG_Signal"	90	"late"
"GSM2228141"	"M36_56"	32	9	"Test"	"No"	"M36"	56	"D56"	"Latent"	"M36_56"	"9248833079_I.AVG_Signal"	56	"middle"
"GSM2228143"	"M28_56"	32	9	"Test"	"No"	"M28"	56	"D56"	"Latent"	"M28_56"	"9248833079_K.AVG_Signal"	56	"middle"
"GSM2228144"	"M24_56"	32	9	"Test"	"No"	"M24"	56	"D56"	"Active"	"M24_56"	"9248833079_L.AVG_Signal"	56	"middle"
"GSM2228145"	"M34_150"	33	9	"Test"	"No"	"M34"	150	"M5"	"Latent"	"M34_150"	"9248833081_A.AVG_Signal"	150	"late"
"GSM2228146"	"M25_56"	33	9	"Test"	"No"	"M25"	56	"D56"	"Latent"	"M25_56"	"9248833081_B.AVG_Signal"	56	"middle"
"GSM2228147"	"M24_30"	33	9	"Test"	"No"	"M24"	30	"D30"	"Active"	"M24_30"	"9248833081_C.AVG_Signal"	30	"middle"
"GSM2228149"	"M32_56"	33	9	"Test"	"No"	"M32"	56	"D56"	"Active"	"M32_56"	"9248833081_E.AVG_Signal"	56	"middle"
"GSM2228151"	"M25_120"	33	9	"Test"	"No"	"M25"	120	"M4"	"Latent"	"M25_120"	"9248833081_G.AVG_Signal"	120	"late"
"GSM2228152"	"M32_180"	33	9	"Test"	"Yes"	"M32"	180	"M6"	"Active"	"M32_180"	"9248833081_J.AVG_Signal"	180	"late"
"GSM2228153"	"M33_120"	33	9	"Test"	"No"	"M33"	120	"M4"	"Latent"	"M33_120"	"9248833081_K.AVG_Signal"	120	"late"
"GSM2228154"	"M23_30"	33	9	"Test"	"No"	"M23"	30	"D30"	"Active"	"M23_30"	"9248833081_L.AVG_Signal"	30	"middle"
"GSM2228157"	"M32_90"	34	10	"Test"	"No"	"M32"	90	"M3"	"Active"	"M32_90"	"9248833084_C.AVG_Signal"	90	"late"
"GSM2228158"	"M36_120"	34	10	"Test"	"No"	"M36"	120	"M4"	"Latent"	"M36_120"	"9248833084_F.AVG_Signal"	120	"late"
"GSM2228160"	"M38_56"	34	10	"Test"	"No"	"M38"	56	"D56"	"Active"	"M38_56"	"9248833084_H.AVG_Signal"	56	"middle"
"GSM2228162"	"M29_120"	34	10	"Test"	"No"	"M29"	120	"M4"	"Latent"	"M29_120"	"9248833084_J.AVG_Signal"	120	"late"
"GSM2228164"	"M25_20"	34	10	"Test"	"No"	"M25"	20	"D20"	"Latent"	"M25_20"	"9248833084_L.AVG_Signal"	20	"middle"
"GSM2228165"	"M38_42"	35	10	"Test"	"No"	"M38"	42	"D42"	"Active"	"M38_42"	"9248833086_A.AVG_Signal"	42	"middle"
"GSM2228166"	"M37_30"	35	10	"Test"	"No"	"M37"	30	"D30"	"Latent"	"M37_30"	"9248833086_B.AVG_Signal"	30	"middle"
"GSM2228167"	"M30_120"	35	10	"Test"	"No"	"M30"	120	"M4"	"Active"	"M30_120"	"9248833086_C.AVG_Signal"	120	"late"
"GSM2228170"	"M34_56"	35	10	"Test"	"No"	"M34"	56	"D56"	"Latent"	"M34_56"	"9248833086_F.AVG_Signal"	56	"middle"
"GSM2228171"	"M35_42"	35	10	"Test"	"No"	"M35"	42	"D42"	"Latent"	"M35_42"	"9248833086_G.AVG_Signal"	42	"middle"
"GSM2228172"	"M38_150"	35	10	"Test"	"Yes"	"M38"	150	"M5"	"Active"	"M38_150"	"9248833086_H.AVG_Signal"	150	"late"
"GSM2228176"	"M30_30"	35	10	"Test"	"No"	"M30"	30	"D30"	"Active"	"M30_30"	"9248833086_L.AVG_Signal"	30	"middle"
"GSM2228177"	"M26_150"	36	10	"Test"	"No"	"M26"	150	"M5"	"Latent"	"M26_150"	"9248833087_A.AVG_Signal"	150	"late"
"GSM2228179"	"M37_20"	36	10	"Test"	"No"	"M37"	20	"D20"	"Latent"	"M37_20"	"9248833087_C.AVG_Signal"	20	"middle"
"GSM2228180"	"M33_180"	36	10	"Test"	"Yes"	"M33"	180	"M6"	"Latent"	"M33_180"	"9248833087_D.AVG_Signal"	180	"late"
"GSM2228181"	"M35_20"	36	10	"Test"	"No"	"M35"	20	"D20"	"Latent"	"M35_20"	"9248833087_G.AVG_Signal"	20	"middle"
"GSM2228182"	"M28_120"	36	10	"Test"	"No"	"M28"	120	"M4"	"Latent"	"M28_120"	"9248833087_H.AVG_Signal"	120	"late"
"GSM2228183"	"M36_90"	36	10	"Test"	"No"	"M36"	90	"M3"	"Latent"	"M36_90"	"9248833087_I.AVG_Signal"	90	"late"
"GSM2228185"	"M31_20"	36	10	"Test"	"No"	"M31"	20	"D20"	"Active"	"M31_20"	"9248833087_K.AVG_Signal"	20	"middle"
"GSM2228188"	"M32_20"	37	10	"Test"	"No"	"M32"	20	"D20"	"Active"	"M32_20"	"9248833089_B.AVG_Signal"	20	"middle"
"GSM2228189"	"M32_42"	37	10	"Test"	"No"	"M32"	42	"D42"	"Active"	"M32_42"	"9248833089_C.AVG_Signal"	42	"middle"
"GSM2228190"	"M31_180"	37	10	"Test"	"Yes"	"M31"	180	"M6"	"Active"	"M31_180"	"9248833089_D.AVG_Signal"	180	"late"
"GSM2228192"	"M36_150"	37	10	"Test"	"No"	"M36"	150	"M5"	"Latent"	"M36_150"	"9248833089_F.AVG_Signal"	150	"late"
"GSM2228193"	"M31_90"	37	10	"Test"	"No"	"M31"	90	"M3"	"Active"	"M31_90"	"9248833089_G.AVG_Signal"	90	"late"
"GSM2228196"	"M24_180"	37	10	"Test"	"Yes"	"M24"	180	"M6"	"Active"	"M24_180"	"9248833089_J.AVG_Signal"	180	"late"
"GSM2228197"	"M31_42"	37	10	"Test"	"No"	"M31"	42	"D42"	"Active"	"M31_42"	"9248833089_K.AVG_Signal"	42	"middle"
"GSM2228199"	"M24_42"	38	11	"Test"	"No"	"M24"	42	"D42"	"Active"	"M24_42"	"9248833090_A.AVG_Signal"	42	"middle"
"GSM2228201"	"M37_56"	38	11	"Test"	"No"	"M37"	56	"D56"	"Latent"	"M37_56"	"9248833090_C.AVG_Signal"	56	"middle"
"GSM2228202"	"M27_120"	38	11	"Test"	"No"	"M27"	120	"M4"	"Latent"	"M27_120"	"9248833090_D.AVG_Signal"	120	"late"
"GSM2228203"	"M26_120"	38	11	"Test"	"No"	"M26"	120	"M4"	"Latent"	"M26_120"	"9248833090_E.AVG_Signal"	120	"late"
"GSM2228204"	"M25_150"	38	11	"Test"	"No"	"M25"	150	"M5"	"Latent"	"M25_150"	"9248833090_F.AVG_Signal"	150	"late"
"GSM2228208"	"M37_150"	38	11	"Test"	"No"	"M37"	150	"M5"	"Latent"	"M37_150"	"9248833090_K.AVG_Signal"	150	"late"
"GSM2228211"	"M20_42"	39	11	"Test"	"No"	"M20"	42	"D42"	"Latent"	"M20_42"	"9248833091_B.AVG_Signal"	42	"middle"
"GSM2228212"	"M37_120"	39	11	"Test"	"No"	"M37"	120	"M4"	"Latent"	"M37_120"	"9248833091_C.AVG_Signal"	120	"late"
"GSM2228215"	"M22_20"	39	11	"Test"	"No"	"M22"	20	"D20"	"Active"	"M22_20"	"9248833091_F.AVG_Signal"	20	"middle"
"GSM2228218"	"M22_42"	39	11	"Test"	"No"	"M22"	42	"D42"	"Active"	"M22_42"	"9248833091_I.AVG_Signal"	42	"middle"
"GSM2228223"	"M34_90"	40	11	"Test"	"No"	"M34"	90	"M3"	"Latent"	"M34_90"	"9248833092_B.AVG_Signal"	90	"late"
"GSM2228224"	"M33_30"	40	11	"Test"	"No"	"M33"	30	"D30"	"Latent"	"M33_30"	"9248833092_C.AVG_Signal"	30	"middle"
"GSM2228225"	"M26_20"	40	11	"Test"	"No"	"M26"	20	"D20"	"Latent"	"M26_20"	"9248833092_D.AVG_Signal"	20	"middle"
"GSM2228228"	"M20_20"	40	11	"Test"	"No"	"M20"	20	"D20"	"Latent"	"M20_20"	"9248833092_G.AVG_Signal"	20	"middle"
"GSM2228229"	"M33_90"	40	11	"Test"	"No"	"M33"	90	"M3"	"Latent"	"M33_90"	"9248833092_H.AVG_Signal"	90	"late"
"GSM2228230"	"M24_150"	40	11	"Test"	"No"	"M24"	150	"M5"	"Active"	"M24_150"	"9248833092_I.AVG_Signal"	150	"late"
"GSM2228231"	"M27_150"	40	11	"Test"	"No"	"M27"	150	"M5"	"Latent"	"M27_150"	"9248833092_J.AVG_Signal"	150	"late"
"GSM2228232"	"M38_30"	40	11	"Test"	"No"	"M38"	30	"D30"	"Active"	"M38_30"	"9248833092_K.AVG_Signal"	30	"middle"
"GSM2228237"	"M35_180"	41	11	"Test"	"Yes"	"M35"	180	"M6"	"Latent"	"M35_180"	"9248833093_F.AVG_Signal"	180	"late"
"GSM2228238"	"M26_30"	41	11	"Test"	"No"	"M26"	30	"D30"	"Latent"	"M26_30"	"9248833093_G.AVG_Signal"	30	"middle"
"GSM2228239"	"M22_120"	41	11	"Test"	"No"	"M22"	120	"M4"	"Active"	"M22_120"	"9248833093_H.AVG_Signal"	120	"late"
"GSM2228240"	"M32_150"	41	11	"Test"	"No"	"M32"	150	"M5"	"Active"	"M32_150"	"9248833093_I.AVG_Signal"	150	"late"
"GSM2228242"	"M24_20"	41	11	"Test"	"No"	"M24"	20	"D20"	"Active"	"M24_20"	"9248833093_K.AVG_Signal"	20	"middle"
"GSM2228243"	"M33_20"	41	11	"Test"	"No"	"M33"	20	"D20"	"Latent"	"M33_20"	"9248833093_L.AVG_Signal"	20	"middle"
"GSM2228244"	"M28_30"	42	12	"Test"	"No"	"M28"	30	"D30"	"Latent"	"M28_30"	"9248833095_A.AVG_Signal"	30	"middle"
"GSM2228245"	"M35_30"	42	12	"Test"	"No"	"M35"	30	"D30"	"Latent"	"M35_30"	"9248833095_B.AVG_Signal"	30	"middle"
"GSM2228246"	"M20_30"	42	12	"Test"	"No"	"M20"	30	"D30"	"Latent"	"M20_30"	"9248833095_C.AVG_Signal"	30	"middle"
"GSM2228247"	"M36_30"	42	12	"Test"	"No"	"M36"	30	"D30"	"Latent"	"M36_30"	"9248833095_D.AVG_Signal"	30	"middle"
"GSM2228250"	"M27_30"	42	12	"Test"	"No"	"M27"	30	"D30"	"Latent"	"M27_30"	"9248833095_I.AVG_Signal"	30	"middle"
"GSM2228251"	"M22_56"	42	12	"Test"	"No"	"M22"	56	"D56"	"Active"	"M22_56"	"9248833095_J.AVG_Signal"	56	"middle"
"GSM2228253"	"M25_42"	42	12	"Test"	"No"	"M25"	42	"D42"	"Latent"	"M25_42"	"9248833095_L.AVG_Signal"	42	"middle"
"GSM2228254"	"M30_90"	43	12	"Test"	"No"	"M30"	90	"M3"	"Active"	"M30_90"	"9248833101_A.AVG_Signal"	90	"late"
"GSM2228255"	"M34_180"	43	12	"Test"	"Yes"	"M34"	180	"M6"	"Latent"	"M34_180"	"9248833101_B.AVG_Signal"	180	"late"
"GSM2228257"	"M27_42"	43	12	"Test"	"No"	"M27"	42	"D42"	"Latent"	"M27_42"	"9248833101_D.AVG_Signal"	42	"middle"
"GSM2228258"	"M21_20"	43	12	"Test"	"No"	"M21"	20	"D20"	"Latent"	"M21_20"	"9248833101_E.AVG_Signal"	20	"middle"
"GSM2228261"	"M21_150"	43	12	"Test"	"No"	"M21"	150	"M5"	"Latent"	"M21_150"	"9248833101_H.AVG_Signal"	150	"late"
